education_key,literacy_rate_total,literacy_rate_male,literacy_rate_female,enrollment_rate_primary_total,enrollment_rate_primary_male,enrollment_rate_primary_female,enrollment_rate_secondary_total,enrollment_rate_secondary_male,enrollment_rate_secondary_female,enrollment_rate_tertiary_total,enrollment_rate_tertiary_male,enrollment_rate_tertiary_female,public_education_spending
82,62.75447083,75.19190216,50.82376099,,,,54.88293839,59.05300903,50.23820114,11.4863596,13.15273,9.646220207,3.142849922
83,,,,110.0201187,110.3839493,109.6115799,57.27587128,60.83147049,53.30596924,13.12668037,15.22165,10.81169987,
84,,,,110.6973801,109.6691666,111.8521576,60.35649109,63.3456192,57.01189041,15.04720974,,,
85,,,,109.4510727,107.8146515,111.2892838,59.61365128,61.48292923,57.51856995,16.03092957,18.50692,13.28658009,3.278249979
86,,,,109.1013718,107.6827469,110.6951218,63.11619949,64.90872955,61.10480118,17.83387947,20.33295,15.05774021,3.377690077
87,69.3025589,78.87722778,59.27732086,108.3233566,106.5544815,110.3103638,66.2507019,67.65908813,64.66925049,22.76465034,25.16253,20.09417915,3.79618001
88,,,,109.7612991,107.7894669,111.9744263,69.01283264,70.23729706,67.63686371,24.26798058,,,3.867500067
89,,,,110.583313,104.7486877,117.1203766,68.75911713,68.11627197,69.48177338,23.79483032,24.35854,23.16390991,3.844670057
90,,,,107.8644104,102.3568878,114.0187607,74.1415329,73.34300995,75.03926086,25.43213081,25.46224,25.39834976,
91,,,,108.4852295,102.8335037,114.780571,73.8656311,73.1364975,74.68528748,26.76898956,26.72463,26.81880951,3.285729885
92,,,,114.5383224,106.4179001,123.5551376,75.09179688,74.24894714,76.03894806,26.82921982,26.63853,27.04351997,3.450979948
93,,,,112.9578629,105.5810089,121.1273727,73.47688293,72.95886993,74.05850983,27.44212914,26.91141,28.03871918,
94,74.37299347,82.36670685,65.79080963,,,,74.37950897,73.86634827,74.95496368,28.06055069,27.17026,29.06164932,
95,,,,96.82868195,95.93580627,97.81433868,73.79296875,73.14083099,74.52295685,28.57290077,27.11052,30.21796036,
96,,,,99.90045929,98.9871521,100.9082413,75.48119354,75.66000366,75.28150177,29.44132996,,31.29393959,
97,91.63027191,93.1904068,90.21041107,108.6008377,109.5725479,107.5982437,82.30407715,80.5658493,84.03331757,24.21640015,24.52151,23.92173958,4.845689774
98,91.73451996,93.90119934,89.8345108,108.1747665,109.2462234,107.0704193,84.08560181,81.9230423,86.24868011,24.79043007,25.18381,24.41291046,4.699920177
99,92.79517365,94.44151306,91.35555267,108.7997131,109.8989563,107.6687775,84.90705109,82.3140564,87.52310181,25.42106056,25.8097,25.04818916,4.690509796
100,92.92559814,94.59216309,91.45361328,109.4244232,110.4972076,108.3209534,86.42752838,83.34577179,89.55883789,26.11203003,26.48113,25.75688934,4.82006979
101,93.44187927,94.91657257,92.11624908,110.5452805,111.5010605,109.5611877,85.93801117,82.55104828,89.39710999,26.58672905,26.89417,26.28899956,5.187940121
102,93.06893921,94.38394165,91.85341644,110.6334915,111.4043198,109.8384171,87.0699234,83.83090973,90.38813782,27.56347084,27.87713,27.25700951,5.159220219
103,93.51998138,94.78276825,92.33827972,110.5407562,111.1703186,109.8900986,88.19017792,85.15087128,91.30687714,28.34149933,28.64911,28.03771973,5.105649948
104,94.22840118,95.39163208,93.17923737,110.4134521,110.8946762,109.9152985,90.66719818,87.75827789,93.64716339,29.4718399,29.78086,29.16374969,5.103099823
105,93.96285248,95.11210632,92.90393829,109.4414825,109.8597488,109.0077515,93.3275528,90.76838684,95.947052,30.30003929,30.64125,29.95729065,4.696050167
106,94.55587769,95.62046814,93.59133911,108.0057526,108.2996826,107.7004013,97.34338379,94.69579315,100.0534668,31.0941391,31.35193,30.83395004,5.257470131
107,94.47228241,95.54933167,93.48549652,106.6061096,106.7350769,106.4718628,100.8327408,97.6499176,104.0937805,31.8190403,32.07144,31.56361961,5.229420185
108,94.85961914,95.84481812,93.96852112,106.2777328,106.2245789,106.333168,102.4040604,98.75592041,106.1494064,38.43338013,38.30063,38.56782913,4.90681982
109,94.97277832,95.87236786,94.16575623,105.7700119,105.516571,106.0346909,104.3850327,100.6593628,108.219902,40.22895813,39.8398,40.62316895,4.518219948
110,95.37991333,96.23290253,94.60804749,105.0280685,104.709877,105.3607101,105.103363,100.7587128,109.5876083,41.52280045,40.74708,42.30899811,4.254429817
111,,,,104.6558228,104.191803,105.1412582,104.6472397,99.92178345,109.5373993,42.83069992,,43.99684906,
112,95.24784851,96.05874634,94.49513245,,,,,,,,,,
113,49.87363815,64.06047821,35.36751938,81.27757263,91.5045929,70.34327698,25.63673973,,,4.923419952,5.25631,4.571519852,2.049720049
114,54.15121078,67.65184021,39.61323166,77.92784882,86.64994812,68.56942749,30.86035919,34.61246109,26.89195061,4.986420155,5.38487,4.565269947,2.395509958
115,52.13682938,65.00493622,38.45775986,83.10394287,90.36279297,75.2917099,32.90158081,37.23604965,28.31261063,5.615320206,6.06515,5.140049934,2.635270119
116,55.526371,68.8660965,40.08118057,83.24307251,90.03914642,75.90518188,33.03702927,37.3730011,28.43841934,5.55546999,6.00125,5.084589958,2.746229887
117,54.89263916,68.62761688,40.31462097,83.89859772,90.20036316,77.07290649,32.85655975,36.49200821,28.99180031,6.798860073,7.34529,6.221819878,2.59078002
118,55.37519073,68.90061188,41.01552963,84.59361267,90.99826813,77.63803864,33.17972946,37.27687073,28.81164932,,,,2.286870003
119,54.73802185,66.99114227,41.97539139,80.85917664,86.69284058,74.51299286,33.76794052,38.34420013,28.87335014,8.295140266,8.61006,7.962850094,2.221750021
120,56.76433945,69.85822296,43.07189178,80.37718964,85.64099121,74.64865875,34.9048996,40.00703049,29.42892075,9.39550972,9.59332,9.186710358,2.13628006
121,55.59498978,68.62934113,41.97494125,79.65857697,84.96420288,73.89344025,36.00167084,41.33398819,30.26078987,9.730730057,9.82275,9.633509636,2.493439913
